S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT-KANIYUR 110kv SS,T,GT,15,,,,370,,77.14127777777779,11.074805555555555,GOOD,MISSING,,,PLAIN,110KV KANIYUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14127777777779 11.074805555555555, 77.14094444444446 11.075027777777777)"
2,T.NO 12,T,DB,24,GT-12,43.829214001622255,6.98,372,"11°31'27""",77.14094444444446,11.075027777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14094444444446 11.075027777777777, 77.14055555555557 11.075444444444445)"
3,T.NO 11,T,DD,28,12-11,62.24146527838174,8.93,366,"33°38'46""",77.14055555555557,11.075444444444445,GOOD,GOOD,"LT,HT-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14055555555557 11.075444444444445, 77.1375 11.076138888888888)"
4,T.NO 10,T,DB,24,11-10,342.31710445141357,10.91,365,"1°51'34""",77.1375,11.076138888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1375 11.076138888888888, 77.13555555555556 11.076527777777777)"
5,T.NO 9,S ,DA,26,10-9,218.87439320304236,7.38,369,,77.13555555555556,11.076527777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13555555555556 11.076527777777777, 77.13277777777778 11.077055555555555)"
6,T.NO 8,S,DA,26,9-8,307.14817271147814,6.54,371,,77.13277777777778,11.077055555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13277777777778 11.077055555555555, 77.12997222222222 11.07761111111111)"
7,T.NO 7,S,DA,26,8-7,312.61797773000836,4.98,377,,77.12997222222222,11.07761111111111,GOOD,GOOD,LT-2,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12997222222222 11.07761111111111, 77.12738888888889 11.078138888888889)"
8,T.NO 6,T,DD,28,7-6,289.0847626562147,4.28,374,"49°50'4""",77.12738888888889,11.078138888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12738888888889 11.078138888888889, 77.12588888888888 11.080944444444444)"
9,T.NO 5,S,DA,26,6-5,351.2406582387637,6.2,377,,77.12588888888888,11.080944444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12588888888888 11.080944444444444, 77.12480555555555 11.083)"
10,T.NO 4,T,MB,45,5-4,256.3532718730151,5.65,380,"3°45'58""",77.12480555555555,11.083,GOOD,GOOD,"LT-2,HT-2",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12480555555555 11.083, 77.12325 11.085500000000001)"
11,T.NO 3 LILO KANIYUR,T,MC,45,4-3,325.2076259868455,2.75,385,,77.12325,11.085500000000001,GOOD,GOOD,,,PLAIN,KANIYUR LILO NEED 4WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
